fecha,nombre,localidad,medio,notas,refs
25 de diciembre de 1860,Vicente Segura Argüelles,México,Diario de Avisos,Asesinado,13? 
1863,Carlos R. Casarín,México,"La Orquesta
Mi Sombrero",Asesinado,13?14? 
23 de septiembre de 1866,Donato Corzo Ruiz,"Chiapas, Chiapas",La Tijera,Asesinado,15? 
27 de abril de 1880,Santiago Sierra,"Estado de México, Estado de México",La Libertad,Asesinado,16? 
17 de febrero de 1885,Luis González y González,"Morelia, Michoacán","El Acero
El Explorador",Asesinado,17?18? 
28 de abril de 1887,Roberto Berea,México,N/A,Asesinado,13? 
13 de mayo de 1892,Pablo Ochoa,México,El Norte de Chihuahua,Asesinado,13? 
2 de abril de 1894,Emilio Ordóñez,"Pachuca, Hidalgo",N/A,Asesinado,19?20? 
30 de julio de 1895,Jesús Olmos y Contreras,"Puebla, Puebla","Crisis
La Voz de la Verdad",Asesinado,21? 
27 de enero de 1897,"José Cayetano Valadés Rocha
Pen name: (Asunción Sánchez)","Mazatlán, Sinaloa",La Tarántula,Asesinado,22?23?24? 
abril de 1901,Eusebio S. Almonte,"Mezcala, Guerrero",El Eco del Sur,Asesinado,25?26? 
30 de agosto de 1902,Vicente Rivero Echegaray,"Tampico, Tamaulipas",Bala Rasa,Asesinado,27? 
1908,Luis Díaz Coudert,México,El Diario de Chihuahua,Asesinado,13? 
1 de junio de 1911,José Sabás de la Mora,"Culiacán, Sinaloa",Voz del Norte,Asesinado,28? 
11 de agosto de 1912,Ignacio Herrerías,"Tlaltizapán, Morelos",El Tiempo,Asesinado,29? 
11 de agosto de 1912,Humberto León Strauss,"Tlaltizapán, Morelos",El Imparcial,Asesinado,29? 
11 de agosto de 1912,José Luis Rivera,"Tlaltizapán, Morelos",N/A,Asesinado,29? 
12 de septiembre de 1912,José Gurdiel Fernández,"Balancán, Tabasco",El Correo de Tabasco,Asesinado,30?31? 
12 de septiembre de 1912,Renón de la Moral,"Balancán, Tabasco",N/A,Asesinado,32? 
1913,- de la Torre,México,N/A,Asesinado,32?N 1? 
9 de febrero de 1913,Mariano Duque,Ciudad de México,El Defensor del Pueblo,Asesinado,25?33? 
22 de febrero de 1913,José Rumbia,"Tlaxcala, Tlaxcala",La Nueva República,Asesinado,34?
27 de agosto de 1913,Solón Argüello,"Ciudad de México, Ciudad de México",Nueva Era,Asesinado,25?35? 
diciembre de 1913,Víctor David Delgado,"Chihuahua, Chihuahua",N/A,Asesinado,36? 
agosto de 1914,A.F. Paredes,"Cananea, Sonora",La Voz de Cananea,Asesinado,32? 
agosto de 1914,Donancio Chávez,"Cananea, Sonora",La Verdad,Asesinado,32? 
septiembre de 1914,Manuel M. Hugues,"Cananea, Sonora",N/A,Asesinado,32? 
13 de diciembre de 1914,Paulino Martínez,México,"El Chinaco
La Voz de Juárez",Asesinado,37? 
9 de febrero de 1917,Faustino Díaz,"Sinaloa, Sinaloa",El Monitor Sinaloense,Desaparecido,22?38? 
1918,Lázaro Gutiérrez de Lara,"Sáric, Sonora",Revolución,Asesinado,39?40? 
1919,Marcos Torres Collado,"Cunduacán, Tabasco",El Chisme,Asesinado,41?42? 
años 1920,Juan Rafael Durán,"San Pedro de las Colonias, Coahuila","El Látigo
La Opinión",Asesinado,43?
abril de 1920,Francisco Rangel,"Guadalajara, Jalisco",Verbo Libre,Asesinado,44? 
12 de octubre de 1920,Manuel Lezcano,"Villahermosa, Tabasco",El Radical,Asesinado,45?
19 de julio de 1921,Florencio Ávila y Castillo,"Mérida, Yucatán",Asociación de Periodistas de Yucatán,Asesinado,46?47? 
24 de mayo de 1922,Jesús Z. Moreno,"Ciudad de México, Ciudad de México",El Heraldo de México,Asesinado,48? 
1923-1924,Pedro Flores González,"Ciudad de México, Ciudad de México",N/A,Asesinado,49? 
23 de junio de 1923,Ángel Pulido,"Ciudad de México, Ciudad de México",El Implacable,Asesinado,50? 
28 de julio de 1924,José Carmen Hernández,México,"El Colmillo
El Colmillo Público",Asesinado,51?52? 
5 de febrero de 1927,Archibaldo Clark,"Magdalena de Kino, Sonora",El Heraldo,Asesinado,53? 
abril de 1927,Anacleto González Flores,"Guadalajara, Jalisco",La Palabra,Asesinado,54?55? 
4 de octubre de 1927,Alonso Capetillo,"Huitzilac, Morelos",N/A,Asesinado,56? 
2 de octubre de 1928,Enrique Woolfolk,"Magdalena de Kino, Sonora",La Revista,Asesinado,57? 
31 de mayo de 1929,Luis D. Kluver,"Agua Prieta, Sonora",La Vanguardia,Asesinado,43?58? 
13 de septiembre de 1930,Arturo García,"Tuxtla Gutiérrez, Chiapas","Regeneración
Chiapas Nuevo",Asesinado,59? 
7 de febrero de 1936,Julián S. González,"Ciudad de México, Ciudad de México",El Tiempo,Asesinado,60? 
20 de abril de 1939,José Trinidad Mata,"Puebla, Puebla",Avante,Asesinado,61? 
15 de octubre de 1942,Eduardo Galdámez,"Tapachula, Chiapas",El Sur de México,Aseinado,59? 
3 de abril de 1944,Ignacio F. Herrerías,"Ciudad de México, Ciudad de México",Novedades,Asesinado,62? 
19 de abril de 1944,Salvador Guerrero González,"Torreón, Coahuila",La Opinión,Asesinado,63? 
31 de marzo de 1947,Vicente Villasana González,"Ciudad Victoria, Tamaulipas",El Mundo,Asesinado,64?65?66? 
11 de noviembre de 1948,Fernando Sánchez Bretón,"Ciudad de México, Ciudad de México",La Semana Ilustrada,Asesinado,62? 
19 de noviembre de 1949,"José María Jiménez Rubio
Pen name: (Nicanor)","Mazatlán, Sinaloa",El Correo de la Tarde,Asesinado,67?
24 de octubre de 1953,Raúl Parra Molina,"Salina Cruz, Oaxaca",La Voz de Sureste,Asesinado,68? 
julio de 1956,Manuel Acosta Meza,"Tijuana, Baja California",El Imparcial,Asesinado,69?70? 
2 de septiembre de 1956,Fernando Márquez Sánchez,"Tijuana, Baja California",Baja California,Asesinado,70? 
1959,Jorge Salinas Aragón,"Minatitlán, Veracruz",,,71? 
26 de noviembre de 1961,Carlos Estrada Sastré,"Tijuana, Baja California",,,69?72? 
8 de octubre de 1970,Ernesto Espinoza Hernández,"Chihuahua, Chihuahua",,,73? 
31 de julio de 1971,Vicente García Medina,"Sinaloa, Sinaloa",,,22? 
22 de enero de 1976,José Asunción Méndez,"Ciudad Juárez, Chihuahua",,,74? 
31 de julio de 1977,Mario Carlos Rodríguez Falcón,"Sinaloa, Sinaloa",,,22? 
16 de febrero de 1978,Roberto Martínez Montenegro,"Culiacán, Sinaloa",,,75?76? 
28 de septiembre de 1978,Patricio Pérez Pintado,"Loma Bonita, Oaxaca",,,77? 
1979,Álvaro Alemán,"Oaxaca, Oaxaca",,,78? 
1979,José Guadalupe Mendívil,"Sinaloa, Sinaloa",,,22? 
